Co	N	idle
29	1	51.57
42	2	39.46
48	3	25.53
55	4	23.23
56	5	16.94
61	6	16.31
64	7	14.20
58	8	7.81
65	9	8.78
60	10	9.14
67	11	7.66
61	12	2.93
66	13	6.37
58	14	2.54
61	15	4.44
65	16	2.13
70	17	2.42
73	18	2.72
59	19	0.91
62	20	2.31
63	21	0.51
68	22	0.81
69	23	1.01
48	24	0.00
50	25	0.81
52	26	0.00
54	27	0.91
56	28	0.50
58	29	0.61
58	30	0.10
62	31	0.71
64	32	0.00
66	33	0.00
51	34	0.41
39	35	0.00
36	36	0.00
37	37	0.00
38	38	0.00
39	39	0.00
40	40	0.00
41	41	0.00
42	42	0.00
43	43	0.00
44	44	0.00
45	45	0.00
46	46	0.00
47	47	0.00
48	48	0.00
49	49	0.00
50	50	0.00
